"","node","time","alanine_aminotransferase_alt","albumin","aspartate_aminotransferase_ast","cardiac_troponin_normal_sensitivity","c_reactive_protein_crp_normal_sensitivity","creatinine","ferritin","fibrinogen","lactate_dehydrogenase_ldh","lymphocyte_count","neutrophil_count","prothrombin_time_pt","total_bilirubin","white_blood_cell_count_leukocytes","d_dimer"
"1",1,22.4561933534743,58.2804203539823,3.02931937172775,63.1384058043478,0.1775,96.2099462365591,1.88695987654321,1799.82608695652,595.148387096774,381.601851851852,1.33783674657534,7.76839505050505,15.4793018108108,0.967523923444976,9.52967856920684,1559.99299065421
"2",2,23.7835153922542,63.6931643625192,3.07384341637011,66.3882265275708,0.139731404958678,99.5838827838828,2.00647396551724,1840.30065359477,606.11602012931,376.862083325,1.326841901566,7.53222832599119,15.3944053954306,1.00088798360656,9.3886000509684,1532.59952978056
"3",3,25.9048067860509,70.2254829123328,3.08265682656827,67.0578034682081,0.116074380165289,99.6007380073801,1.96200577627772,1752.47816455696,644.116372995595,375.638163087886,1.30399853070175,6.93004708695652,15.4008375809199,1.11917577223089,9.11194121387283,1370.26
"4",4,24.7870182555781,70.0595611285267,3.09372549019608,69.4830010122699,0.127810762711864,103.714503816794,1.87468012448133,1616.68305084746,638.554311791045,389.151422756098,1.39505760368664,6.47343583143508,15.7234035440613,1.24831414473684,9.06187607476635,1282.28956228956
"5",5,24.4893081761006,74.2035623473282,3.07663551401869,70.8511342155009,0.101311881188119,101.806681034483,1.84212137709138,1523.63193277311,623.948611089744,387.298115942029,7.63192857142857,6.39632768361582,15.7242267307692,1.25325651302605,9.04870730220493,1268.47978723404
"6",6,23.6406844106464,59.1494592035398,3.10281690140845,63.223102795389,0.0869921875,101.74,1.79230292635659,1390.74503311258,609.143399306931,381.88347639485,11.5773023255814,6.34004587155963,15.8623775268817,0.988624754601227,8.74155860510806,1286.255
"7",7,23.0577819198509,55.8820109439124,3.07766990291262,62.9402684563758,0.16591609929078,99.5896166134185,1.87895914448669,1720.61627681287,600.71891531746,382.160480349345,2.14502682092555,7.43360944111776,15.7264001453958,0.893813314037627,9.42621794230769,1444.36005434783
"8",8,24.5091154625253,61.3971036585366,3.12917705735661,67.3858515506958,0.15631835978836,105.141724941725,2.0163739738292,1781.59294295045,604.073362225433,383.385551948052,1.94127031019202,7.15009041055719,15.5075530612245,0.959134276457883,9.30195736622655,1498.63253638254
"9",9,26.5721212121212,63.9938524590164,3.125,67.477827375,0.130630952380952,106.283774834437,1.95276571960298,1860.92277432712,628.107252622478,393.197594506627,1.34052702702703,6.62440729946524,15.3431614461883,1.11473113702624,9.04789925856698,1335.08646245059
"10",10,26.2435582822086,61.2119003690037,3.08958333333333,67.1220566034327,0.129474739336493,103.335129310345,1.82850920226131,1814.52208835341,627.251179941003,391.958968926554,1.36945547945205,6.26946395945946,15.3863344871795,1.17181773399015,8.95403084971465,1261.02156862745
"11",11,26.2222222222222,63.4227258148505,3.06538461538462,66.8157169990503,0.151940104166667,98.1727539503386,1.75775107894737,1625.60254820248,618.282146379822,379.631967213115,4.67812032884903,6.31031617647059,15.4397964449819,1.15962602459016,9.03207194536975,1278.73706004141
"12",12,25.6574014221073,56.5587745554446,3.08928571428571,62.9315968938656,0.176865079365079,99.2355503512881,1.72359125661376,1524.57523808791,607.766187412141,370.728738317757,4.88787735849057,6.61046296296296,15.6233894945848,0.994968717413973,9.12471528021607,1368.96976401549
"13",13,22.5088709677419,55.3373609551208,3.12008670520231,64.0591610158014,0.145566860465116,98.9872524752475,1.88721949917898,1713.16531424821,580.141610337838,396.483576642336,4.79045029824561,7.22831590592334,15.4098625177809,1.02843610640871,9.66865298157454,1415.62611607143
"14",14,23.834386852086,65.3409161281337,3.14325581395349,85.0060399545867,0.140608990384615,100.983615221987,1.93678472633612,1615.19762404612,585.569729702703,412.644862165414,5.55966621399177,6.86001586394558,15.2819923302108,1.0757058242843,9.45262978403141,1443.66585603113
"15",15,25.6752954417558,63.0293744801352,3.12727272727273,83.8595809181141,0.125844660633484,102.64670781893,1.90244033487298,1728.74922178988,609.431349179894,412.915731669004,3.18734256926952,6.63530640993789,15.3487563868225,1.07864242727273,9.28241302040816,1419.45149253731
"16",16,26.8510520487265,62.0321757405858,3.12083333333333,80.2084627964023,0.110431173913043,102.93776290631,1.76330390660592,1695.54478976234,617.172415320856,373.781455103627,1.76804186868687,6.50033996268657,15.3980397098446,1.05302101801802,9.172312417962,1303.91962699822
"17",17,27.9246178176067,61.1287000317712,3.09420849420849,69.3626791790461,0.135307956521739,99.3134565619224,1.73046160433604,1635.39428409168,603.446787156627,364.371092757306,1.40429987212276,6.69175031367629,15.1562532267442,1.05969670918367,9.30123007111597,1328.16273584906
"18",18,26.6690938511327,57.6274933127699,3.12640532544379,68.8533615217391,0.140958846153846,99.9163211678832,1.71795734939759,1522.01340679063,603.842453429672,366.852605703048,1.49041379310345,7.06957567279768,15.2179730931587,0.929526616492147,9.44158116210526,1359.31278775552
"19",19,24.9596899224806,59.7207156384181,3.15100864553314,68.1870616389812,0.123695652173913,102.14427480916,1.84258965981013,1778.79190252358,579.822131147541,410.153097345133,4.72077340753425,6.99162428813559,15.6680760805369,1.17069298490128,9.69335345132743,1542.95298672566
"20",20,24.642996742671,64.7143311153479,3.15046296296296,85.257560131209,0.114034205128205,102.477181208054,1.84956948207171,1629.96095646681,593.261342583333,417.360940705522,5.72222934472935,6.57906571830986,15.6053931553974,1.21697611503532,9.41437667115903,1528.66649899396
"21",21,25.5337756332931,61.0956927264654,3.15311804008909,82.4338582677165,0.157891173469388,99.3673535791757,1.7847369297164,1556.93795309168,603.907882222222,405.394691377778,3.86388592543276,6.58106517060367,15.7066794407159,1.1174378585086,9.31083853308365,1364.86127744511
"22",22,26.9900234741784,58.8807359393939,3.1424672489083,78.8318363301968,0.114980694444444,98.84,1.70481000603136,1451.18250497018,607.948924721408,357.375520124827,2.37753602702703,6.59386595206391,15.5802422234273,1.09840674789128,9.17396101653399,1243.66521317829
"23",23,27.35960591133,57.9964480901639,3.10556722689076,68.247711365105,0.120584705882353,95.2359315589354,1.64753290868095,1609.47921847247,600.266621752022,365.818090787717,1.42252005347594,6.87258869908016,15.163409780658,1.05099502194908,9.34791680778032,1249.88391265597
"24",24,26.6143843965868,60.9831598224127,3.14635958395245,79.8993389483173,0.117200392749245,97.3053545586107,1.64823798245614,1574.72336065574,600.055335968379,369.220138203356,2.00024485798237,7.183338172147,15.0800059928315,0.901401564537158,9.49890740552017,1285.87294801642
"25",25,26.4979457682827,59.947966507177,3.125,73.3399252302243,0.154427835820896,99.6737215909091,1.67474155071249,1762.26549865229,584.026995316901,407.916982329545,1.44859097328244,6.99803660984848,15.6463132022472,1.22553593947037,9.65987821580289,1541.26890243902
"26",26,25.5960179833012,57.811164277512,3.12663438256659,73.0016525023607,0.179108843930636,99.981338028169,1.68704127129751,1692.40222222222,589.862215909091,397.523183941267,1.44935435435435,6.56747278931751,15.8442886956522,1.21776985743381,9.35437303595206,1524.02920081967
"27",27,25.5453315290934,54.1497088180884,3.15918367346939,68.5417510121458,0.214368131868132,96.8836674937343,1.6707814384509,1570.80377358491,599.167745404531,392.532094611487,2.57569359756098,6.58319527108434,15.839679068323,1.04785063387978,9.26405229415904,1363.37951467269
"28",28,27.6696367374914,58.7695726666667,3.10699208443272,74.3341793604061,0.216456105263158,96.2670552590674,1.69955202807018,1422.22307692308,602.069544352518,370.086968691275,2.56926557723577,6.61183225961538,15.660063278481,1.04318181818182,9.17609793103448,1327.5021393643
"29",29,28.1053315994798,59.5686948086359,3.08645833333333,73.2697644433688,0.150304075829384,97.2701504275534,1.6434503342246,1551.70780911063,603.096107043796,379.108064516129,1.33089682539683,6.75323712948518,15.1802865375303,0.936860666666667,9.17805989788972,1237.48415898618
"30",30,27.4909318323952,61.9027384324835,3.13179669030733,82.1553698607242,0.13109649122807,99.7372979214781,1.66135351994852,1644.88794926004,595.953984276094,372.413054690402,2.18581039755352,6.90370481927711,14.8529022172452,0.835530770791075,9.25607563233377,1234.6046637744
"31",31,27.7698324022346,59.6539408866995,3.16283783783784,73.3914509223301,0.109748023255814,102.838247011952,1.57109660227273,1524.15427509294,614.84068627451,400.722949397906,1.39486631016043,7.14313829787234,15.6607097718631,1.16166077738516,9.56165507531866,1457.13260135135
"32",32,25.8038793103448,65.9873791621912,3.1146125210084,86.0398512221041,0.185627594936709,98.8967581047382,1.61147201459854,1843.58624708625,599.93385415625,424.45246179966,1.41670549084859,6.904,15.9097756370192,1.1638056797235,9.42447992570579,1381.69265033408
"33",33,26.051048951049,63.4364826645435,3.12322552560647,81.5417538284519,0.177649456521739,98.6331270544554,1.63542554054054,1816.4145785877,604.555734180064,420.743311036789,1.45975249605055,6.729109375,15.7154287439614,1.00771534831461,9.23162806801737,1263.09129213483
"34",34,27.3983935742972,71.409363757503,3.05195195195195,96.1512455516014,0.212828666666667,98.0466765773809,1.69927303600655,2375.0813648294,598.054036445312,408.600952380952,1.40309612359551,6.71988950276243,15.8759232954545,1.04275641025641,9.15455191792295,1333.43969002695
"35",35,27.3229571984436,67.8507984131736,3.09031007751938,87.0073855243722,0.163820324675325,96.5723899245283,1.66313060817547,2259.71217105263,589.755434782609,402.048148148148,1.34680030660377,6.45761627906977,15.6598512568306,0.98984126984127,9.00021492323439,1321.06617647059
"36",36,25.8946587537092,72.5351894895592,3.15178571428571,111.970430115207,0.203597326732673,91.5099397590361,1.64982699236641,2671.75628140704,579.088983050847,399.358974346154,1.33070110701107,6.46617753623188,15.3150552209945,0.88481849009901,9.040531234375,1237.7
"37",NA,7.5,16,NA,9,NA,NA,3.05,NA,NA,NA,NA,NA,NA,0.2,5.35,NA
